road_num,Month,Day of month,Hour,Day of week,temperature,rain,atmosphere,speed_diff,time_diff,Traffic_Label
1,2,3,2,5,4,2,0,0,0,0
1,2,3,3,5,2,2,0,0,0,0
1,2,4,0,6,4,0,0,0,0,0
1,2,4,1,6,5,2,0,0,0,0
1,2,4,2,6,4,0,0,0,0,0
1,2,5,0,0,7,2,0,0,0,0
1,2,5,1,0,6,2,0,0,0,0
1,2,5,7,0,5,2,0,0,0,0
1,2,5,8,0,5,2,0,0,0,0
1,2,6,8,1,5,2,0,2,3,1
1,2,6,9,1,5,2,0,4,8,1
1,2,6,10,1,8,2,0,3,5,1
1,2,11,0,6,6,0,0,0,0,0
1,2,11,1,6,5,0,0,0,0,0
1,2,11,2,6,6,0,0,0,0,0
1,2,12,0,0,7,0,0,0,0,0
1,2,12,1,0,7,0,0,0,0,0
1,2,12,2,0,5,0,0,0,0,0
1,2,12,3,0,6,0,0,0,0,0
1,2,12,4,0,6,0,0,0,0,0
1,2,12,5,0,7,0,0,0,0,0
1,2,12,21,0,8,0,0,0,0,0
1,2,12,22,0,8,0,0,0,0,0
1,2,13,22,1,9,0,0,0,0,0
1,2,19,0,0,7,0,0,0,0,0
1,2,19,1,0,6,0,0,0,0,0
1,2,19,2,0,4,0,0,0,0,0
1,2,19,3,0,3,0,0,0,0,0
1,2,19,4,0,3,0,0,0,0,0
1,2,19,5,0,2,0,0,0,0,0
1,2,19,6,0,3,0,0,0,0,0
1,2,19,7,0,2,0,0,0,0,0
1,2,20,0,1,6,0,0,0,0,0
1,2,20,1,1,6,0,0,0,0,0
1,2,20,2,1,5,0,0,0,0,0
1,2,20,3,1,6,0,0,0,0,0
1,2,3,8,5,1,0,0,0,0,0
1,2,3,11,5,8,0,0,0,0,0
1,2,3,12,5,9,0,0,0,0,0
1,2,3,13,5,10,0,0,0,0,0
1,2,3,14,5,11,0,0,0,0,0
1,2,3,15,5,12,0,0,0,0,0
1,2,3,16,5,11,0,0,0,0,0
1,2,3,17,5,11,0,0,0,0,0
1,2,3,18,5,10,0,0,3,77,0
1,2,4,11,6,9,0,0,3,55,1
1,2,4,12,6,11,0,0,4,101,1
1,2,4,13,6,13,0,0,6,146,0
1,2,4,14,6,13,0,0,0,0,0
1,2,4,15,6,13,0,0,0,0,0
1,2,5,9,0,8,0,0,0,0,1
1,2,5,10,0,10,0,0,0,0,1
1,2,5,11,0,11,0,0,0,0,1
1,2,5,12,0,14,0,0,0,0,1
1,2,5,13,0,14,0,0,0,0,1
1,2,5,14,0,14,0,0,0,0,1
1,2,5,15,0,14,0,0,0,0,0
1,2,5,16,0,14,0,0,0,0,0
1,2,5,17,0,13,0,0,0,0,1
1,2,5,18,0,13,0,0,0,0,1
1,2,5,19,0,10,0,0,0,0,1
1,2,6,12,1,12,0,0,0,0,1
1,2,10,22,5,8,0,0,0,0,0
1,2,11,11,6,10,0,0,0,0,1
1,2,11,12,6,12,0,0,0,0,0
1,2,11,13,6,13,0,0,0,0,0
1,2,11,14,6,14,0,0,0,0,0
1,2,11,15,6,13,0,0,0,0,1
1,2,11,16,6,13,0,0,0,0,1
1,2,11,17,6,13,0,0,0,0,1
1,2,11,18,6,12,0,0,0,0,1
1,2,11,19,6,9,0,0,0,0,1
1,2,11,20,6,9,0,0,0,0,0
1,2,12,6,0,8,0,0,0,0,0
1,2,12,7,0,9,0,0,0,0,0
1,2,12,8,0,9,0,0,0,0,0
1,2,12,9,0,10,0,0,0,0,1
1,2,12,10,0,12,0,0,0,0,0
1,2,12,11,0,13,0,0,0,0,1
1,2,12,12,0,15,0,0,0,0,0
1,2,12,13,0,16,0,0,0,0,0
1,2,12,14,0,17,0,0,3,4,0
1,2,12,15,0,17,0,0,10,16,0
1,2,12,16,0,16,0,0,10,15,1
1,2,12,17,0,15,0,0,14,36,1
1,2,12,18,0,14,0,0,10,16,1
1,2,12,19,0,11,0,0,0,0,1
1,2,12,20,0,9,0,0,0,0,0
1,2,12,23,0,9,0,0,0,0,0
1,2,13,0,1,11,0,0,0,0,0
1,2,13,1,1,10,0,0,0,0,0
1,2,13,2,1,10,0,0,0,0,0
1,2,13,3,1,10,0,0,0,0,0
1,2,13,4,1,9,0,0,0,0,0
1,2,13,5,1,9,0,0,0,0,0
1,2,13,6,1,9,0,0,0,0,0
1,2,13,7,1,8,0,0,0,0,0
1,2,13,8,1,8,0,0,0,0,1
1,2,13,9,1,9,0,0,0,0,1
1,2,13,10,1,11,0,0,0,0,0
1,2,13,11,1,13,0,0,0,0,1
1,2,13,12,1,15,0,0,0,0,1
1,2,13,13,1,17,0,0,0,0,0
1,2,13,14,1,19,0,0,0,0,0
1,2,13,15,1,18,0,0,0,0,0
1,2,13,16,1,18,0,0,5,7,1
1,2,13,17,1,17,0,0,0,0,1
1,2,13,18,1,16,0,0,0,0,1
1,2,13,19,1,13,0,0,0,0,1
1,2,13,20,1,11,0,0,0,0,0
1,2,13,21,1,10,0,0,0,0,0
1,2,13,23,1,10,0,0,0,0,0
1,2,14,0,2,10,0,0,0,0,0
1,2,14,1,2,12,0,0,0,0,0
1,2,14,2,2,11,0,0,0,0,0
1,2,14,3,2,11,0,0,0,0,0
1,2,14,4,2,11,0,0,0,0,0
1,2,14,5,2,11,0,0,0,0,0
1,2,14,6,2,11,0,0,0,0,0
1,2,14,7,2,11,0,0,14,36,0
1,2,14,8,2,11,0,0,11,32,0
1,2,14,9,2,11,0,0,13,28,1
1,2,14,10,2,13,0,0,19,60,1
1,2,14,11,2,15,0,0,0,0,0
1,2,14,12,2,17,0,0,0,0,0
1,2,14,13,2,18,0,0,0,0,0
1,2,14,14,2,19,0,0,0,0,0
1,2,14,15,2,20,0,0,0,0,0
1,2,14,16,2,20,0,0,0,0,0
1,2,14,17,2,20,0,0,0,0,1
1,2,14,18,2,19,0,0,0,0,1
1,2,14,19,2,15,0,0,0,0,1
1,2,14,20,2,13,0,0,0,0,1
